replicate,ligand_id,target_id,file,energy
1,Testosterone,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/Testosterone/1z95_Testosterone_6_replicate1.sdf,-7.42
1,DTHC,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/DTHC/1z95_DTHC_0_replicate1.sdf,-7.602
1,R1881,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/R1881/1z95_R1881_2_replicate1.sdf,-9.532
1,DHT,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/DHT/1z95_DHT_0_replicate1.sdf,-7.48
1,LTHC,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/LTHC/1z95_LTHC_0_replicate1.sdf,-7.594
1,RBICALUTAMIDE,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_0_replicate1.sdf,-10.434
2,Testosterone,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/Testosterone/1z95_Testosterone_2_replicate2.sdf,-7.42
1,CBN,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/CBN/1z95_CBN_0_replicate1.sdf,-7.166
2,DTHC,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/DTHC/1z95_DTHC_0_replicate2.sdf,-7.602
1,CBD,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/CBD/1z95_CBD_0_replicate1.sdf,-6.993
2,R1881,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/R1881/1z95_R1881_3_replicate2.sdf,-9.532
2,DHT,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/DHT/1z95_DHT_0_replicate2.sdf,-7.48
1,MDMBCHMINACA,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_0_replicate1.sdf,-8.673
2,RBICALUTAMIDE,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/RBICALUTAMIDE/1z95_RBICALUTAMIDE_0_replicate2.sdf,-10.434
2,LTHC,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/LTHC/1z95_LTHC_0_replicate2.sdf,-7.594
2,CBN,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/CBN/1z95_CBN_0_replicate2.sdf,-7.166
3,Testosterone,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 3/Testosterone/1z95_Testosterone_1_replicate3.sdf,-7.42
2,CBD,1z95,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 2/CBD/1z95_CBD_0_replicate2.sdf,-6.993
