replicate,ligand_id,target_id,file,energy
1,DHT,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/DHT/2am9_DHT_1_replicate1.sdf,-10.948
1,Testosterone,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,-10.606
1,R1881,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/R1881/2am9_R1881_0_replicate1.sdf,-10.015
1,DTHC,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/DTHC/2am9_DTHC_2_replicate1.sdf,-6.31
1,LTHC,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,-6.307
1,CBN,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/CBN/2am9_CBN_0_replicate1.sdf,-7.168
1,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/RBICALUTAMIDE/2am9_RBICALUTAMIDE_0_replicate1.sdf,-6.254
2,DTHC,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/DTHC/2am9_DTHC_0_replicate2.sdf,-6.31
2,Testosterone,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/Testosterone/2am9_Testosterone_6_replicate2.sdf,-10.606
1,CBD,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/CBD/2am9_CBD_0_replicate1.sdf,-6.669
1,5FAKB48,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_0_replicate1.sdf,-7.128
2,DHT,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/DHT/2am9_DHT_0_replicate2.sdf,-10.948
2,R1881,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/R1881/2am9_R1881_0_replicate2.sdf,-10.015
2,LTHC,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/LTHC/2am9_LTHC_0_replicate2.sdf,-6.307
2,5FAKB48,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_0_replicate2.sdf,-7.128
2,CBN,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/CBN/2am9_CBN_1_replicate2.sdf,-7.168
2,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/RBICALUTAMIDE/2am9_RBICALUTAMIDE_0_replicate2.sdf,-6.254
3,Testosterone,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 3/Testosterone/2am9_Testosterone_0_replicate3.sdf,-10.606
2,CBD,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 2/CBD/2am9_CBD_2_replicate2.sdf,-6.669
3,DTHC,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 3/DTHC/2am9_DTHC_0_replicate3.sdf,-6.31
3,LTHC,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 3/LTHC/2am9_LTHC_2_replicate3.sdf,-6.307
3,DHT,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 3/DHT/2am9_DHT_0_replicate3.sdf,-10.948
3,R1881,2am9,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 3/R1881/2am9_R1881_0_replicate3.sdf,-10.015
