ligand_id,target_id,replicate,docked_pdbqt,docked_sdf,energies
MDMBCHMINACA,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate1.sdf']","[-5.165, -5.042, -6.8, -4.93, -4.819]"
CBN,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_4_replicate1.sdf']","[-7.456, -7.395, -7.494, -7.535, -6.48]"
LTHC,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_4_replicate1.sdf']","[-6.283, -6.327, -5.534, -5.618, -6.199]"
R1881,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_4_replicate1.sdf']","[-9.706, -10.828, -9.972, -9.861, -10.079]"
Testosterone,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_4_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_3_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_4_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_3_replicate1.sdf']","[-10.817, -10.758, -10.49, -10.16, -9.822]"
DTHC,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_4_replicate1.sdf']","[-6.283, -6.327, -5.534, -5.618, -6.199]"
DHT,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.sdf']","[-10.637, -10.639, -9.818, -10.73, -11.087]"
HU210,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_4_replicate1.sdf']","[-4.635, -4.825, -4.372, -4.654, -4.739]"
CBD,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_4_replicate1.sdf']","[-6.672, -6.949, -7.024, -6.827, -7.085]"
5FAKB48,2am9,1,"['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_1_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_0_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_2_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_3_replicate1.pdbqt', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_1_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_0_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_2_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_3_replicate1.sdf', '/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_4_replicate1.sdf']","[-6.82, -6.397, -6.542, -6.714, -6.889]"
