ligand_id,target_id,energy (kcal/mol),temperature (Celsius),Ki (microM),Ligand Eff,file,energy,reproduced,max RMSD,redocked,norm_score,HBAcceptor,Hydrophobic,HBDonor
5FAKB48,2am9,-6.82,37,15.52818,0.24357,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_1_replicate1.sdf,-6.82,Yes,0,Not in structure,0.6151348426084604,['A:42:HE22'],"['A:83', 'A:16', 'A:46', 'A:76', 'A:13', 'A:94', 'A:97', 'A:15', 'A:82', 'A:95', 'A:42', 'A:49', 'A:96', 'A:79', 'A:75', 'A:12', 'A:135', 'A:139', 'A:14']",
CBD,2am9,-7.085,37,10.09869,0.30804,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBD/2am9_CBD_4_replicate1.sdf,-7.085,Yes,0,Not in structure,0.6390367096599622,,"['A:39', 'A:208', 'A:83', 'A:80', 'A:73', 'A:38', 'A:35', 'A:118', 'A:204', 'A:111', 'A:95', 'A:42', 'A:226', 'A:32', 'A:77', 'A:207', 'A:36', 'A:76']",
CBN,2am9,-7.535,37,4.86367,0.32761,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/CBN/2am9_CBN_3_replicate1.sdf,-7.535,Yes,0,Not in structure,0.6796247857851538,,"['A:83', 'A:16', 'A:46', 'A:13', 'A:94', 'A:97', 'A:15', 'A:82', 'A:42', 'A:49', 'A:79', 'A:75', 'A:87', 'A:12', 'A:14', 'A:139', 'A:76']",
DHT,2am9,-11.087,37,0.01522,0.50395,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.sdf,-11.087,Yes,0,Not in structure,1.0,['A:83:HH21'],"['A:72', 'A:207', 'A:36', 'A:32', 'A:35', 'A:83', 'A:38', 'A:77', 'A:208', 'A:118', 'A:76', 'A:80', 'A:73', 'A:226', 'A:39', 'A:204', 'A:95', 'A:111']",['A:208:OG1']
DTHC,2am9,-6.327,37,34.57338,0.27509,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.sdf,-6.327,Yes,0,Not in structure,0.5706683503201948,,"['A:39', 'A:208', 'A:83', 'A:80', 'A:73', 'A:38', 'A:35', 'A:118', 'A:204', 'A:111', 'A:95', 'A:72', 'A:42', 'A:226', 'A:32', 'A:77', 'A:207', 'A:36', 'A:76']",
HU210,2am9,-4.739,37,455.47372,0.16925,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/HU210/2am9_HU210_4_replicate1.sdf,-4.739,Yes,0,Not in structure,0.42743753946062957,['A:214:HZ2'],"['A:206', 'A:114', 'A:113', 'A:203', 'A:110', 'A:112', 'A:214', 'A:207', 'A:111', 'A:210']",
LTHC,2am9,-6.327,37,34.57338,0.27509,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,-6.327,Yes,0,Not in structure,0.5706683503201948,,"['A:36', 'A:226', 'A:207', 'A:83', 'A:72', 'A:208', 'A:80', 'A:35', 'A:76', 'A:118', 'A:204', 'A:42', 'A:73', 'A:95', 'A:39', 'A:38', 'A:111', 'A:32', 'A:77']",
MDMBCHMINACA,2am9,-6.8,37,16.04068,0.24286,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate1.sdf,-6.8,Yes,0,Not in structure,0.6133309281140074,"['A:83:HH11', 'A:42:HE22']","['A:45', 'A:79', 'A:82', 'A:139', 'A:87', 'A:13', 'A:42', 'A:14', 'A:12', 'A:16', 'A:46', 'A:49', 'A:80', 'A:15', 'A:86', 'A:75', 'A:83', 'A:76']",
R1881,2am9,-10.828,37,0.02318,0.51562,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.sdf,-10.828,Yes,0,Not in structure,0.9766393072968341,['A:83:HH21'],"['A:39', 'A:208', 'A:83', 'A:80', 'A:73', 'A:38', 'A:35', 'A:118', 'A:204', 'A:111', 'A:95', 'A:72', 'A:226', 'A:32', 'A:77', 'A:207', 'A:36', 'A:76']",['A:36:OD1']
Testosterone,2am9,-10.817,37,0.02359,0.5151,/home/screener/files/prost_canc/time_comp/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,-10.817,Yes,0,Yes,0.975647154324885,['A:83:HH21'],"['A:38', 'A:73', 'A:118', 'A:207', 'A:80', 'A:36', 'A:111', 'A:35', 'A:39', 'A:42', 'A:95', 'A:83', 'A:77', 'A:72', 'A:76', 'A:32', 'A:204', 'A:208', 'A:226']",['A:208:OG1']
