ligand_id,target_id,replicate,docked_pdbqt,docked_sdf,energies
R1881,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_4_replicate1.sdf']","[-9.872, -9.929, -8.625, -8.964, -9.231]"
Testosterone,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_4_replicate1.sdf']","[-8.114, -7.972, -6.237, -7.499, -7.617]"
RBICALUTAMIDE,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_4_replicate1.sdf']","[-10.408, -10.363, -10.44, -10.351, -10.432]"
MDMBCHMINACA,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_4_replicate1.sdf']","[-7.071, -7.537, -8.417, -7.112, -7.641]"
LTHC,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_4_replicate1.sdf']","[-7.856, -7.355, -7.574, -7.568, -7.53]"
CBN,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_4_replicate1.sdf']","[-7.542, -7.683, -7.575, -7.591, -7.574]"
DHT,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_4_replicate1.sdf']","[-8.004, -7.021, -8.035, -8.025, -8.897]"
5FAKB48,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_4_replicate1.sdf']","[-6.893, -7.486, -6.908, -6.702, -6.919]"
CBD,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_4_replicate1.sdf']","[-7.259, -6.955, -6.889, -8.063, -7.164]"
DTHC,1z95,1,"['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_0_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_1_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_2_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_3_replicate1.pdbqt', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_4_replicate1.pdbqt']","['/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_0_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_1_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_2_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_3_replicate1.sdf', '/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_4_replicate1.sdf']","[-7.856, -7.355, -7.574, -7.568, -7.53]"
