replicate,ligand_id,target_id,file,energy
1,R1881,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/R1881/1z95_R1881_1_replicate1.sdf,-9.929
1,MDMBCHMINACA,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_1_replicate1.sdf,-8.417
1,CBN,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBN/1z95_CBN_2_replicate1.sdf,-7.575
1,RBICALUTAMIDE,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_2_replicate1.sdf,-10.44
1,LTHC,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/LTHC/1z95_LTHC_0_replicate1.sdf,-7.856
1,Testosterone,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/Testosterone/1z95_Testosterone_0_replicate1.sdf,-8.114
1,DHT,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DHT/1z95_DHT_4_replicate1.sdf,-8.897
2,Testosterone,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/Testosterone/1z95_Testosterone_0_replicate2.sdf,-8.114
1,DTHC,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/DTHC/1z95_DTHC_0_replicate1.sdf,-7.856
1,5FAKB48,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/5FAKB48/1z95_5FAKB48_1_replicate1.sdf,-7.486
1,CBD,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/CBD/1z95_CBD_3_replicate1.sdf,-8.063
2,R1881,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/R1881/1z95_R1881_1_replicate2.sdf,-9.929
2,RBICALUTAMIDE,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/RBICALUTAMIDE/1z95_RBICALUTAMIDE_2_replicate2.sdf,-10.44
1,HU210,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 1/HU210/1z95_HU210_4_replicate1.sdf,-5.762
2,LTHC,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/LTHC/1z95_LTHC_0_replicate2.sdf,-7.856
2,CBN,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/CBN/1z95_CBN_2_replicate2.sdf,-7.575
2,MDMBCHMINACA,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/MDMBCHMINACA/1z95_MDMBCHMINACA_1_replicate2.sdf,-8.417
2,DHT,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/DHT/1z95_DHT_4_replicate2.sdf,-8.897
2,CBD,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/CBD/1z95_CBD_3_replicate2.sdf,-8.063
2,5FAKB48,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/5FAKB48/1z95_5FAKB48_1_replicate2.sdf,-7.486
2,DTHC,1z95,/home/screener/files/prost_canc/vina_inib/results/1z95/replicate 2/DTHC/1z95_DTHC_0_replicate2.sdf,-7.856
