replicate,ligand_id,target_id,file,energy
1,Testosterone,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,-10.833
1,CBN,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/CBN/2am9_CBN_4_replicate1.sdf,-8.024
1,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate1.sdf,-8.292
1,DTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.sdf,-7.057
1,LTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,-7.057
1,R1881,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.sdf,-10.836
1,DHT,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.sdf,-11.064
1,CBD,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/CBD/2am9_CBD_4_replicate1.sdf,-7.541
2,CBN,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/CBN/2am9_CBN_4_replicate2.sdf,-8.024
1,5FAKB48,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_3_replicate1.sdf,-7.508
2,DTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/DTHC/2am9_DTHC_1_replicate2.sdf,-7.057
2,R1881,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/R1881/2am9_R1881_1_replicate2.sdf,-10.836
1,HU210,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/HU210/2am9_HU210_0_replicate1.sdf,-7.355
1,MDMBCHMINACA,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate1.sdf,-7.192
2,Testosterone,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/Testosterone/2am9_Testosterone_0_replicate2.sdf,-10.833
2,LTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/LTHC/2am9_LTHC_1_replicate2.sdf,-7.057
2,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate2.sdf,-8.292
2,CBD,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/CBD/2am9_CBD_4_replicate2.sdf,-7.541
2,DHT,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/DHT/2am9_DHT_4_replicate2.sdf,-11.064
2,MDMBCHMINACA,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate2.sdf,-7.192
2,5FAKB48,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_3_replicate2.sdf,-7.508
3,CBN,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/CBN/2am9_CBN_4_replicate3.sdf,-8.024
3,DTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/DTHC/2am9_DTHC_1_replicate3.sdf,-7.057
3,R1881,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/R1881/2am9_R1881_1_replicate3.sdf,-10.836
2,HU210,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 2/HU210/2am9_HU210_0_replicate2.sdf,-7.355
3,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate3.sdf,-8.292
3,Testosterone,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/Testosterone/2am9_Testosterone_0_replicate3.sdf,-10.833
3,LTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/LTHC/2am9_LTHC_1_replicate3.sdf,-7.057
4,DTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/DTHC/2am9_DTHC_1_replicate4.sdf,-7.057
3,DHT,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/DHT/2am9_DHT_4_replicate3.sdf,-11.064
3,CBD,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/CBD/2am9_CBD_4_replicate3.sdf,-7.541
3,5FAKB48,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/5FAKB48/2am9_5FAKB48_3_replicate3.sdf,-7.508
3,MDMBCHMINACA,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate3.sdf,-7.192
4,CBN,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBN/2am9_CBN_4_replicate4.sdf,-8.024
3,HU210,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 3/HU210/2am9_HU210_0_replicate3.sdf,-7.355
4,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate4.sdf,-8.292
4,Testosterone,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/Testosterone/2am9_Testosterone_0_replicate4.sdf,-10.833
4,R1881,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/R1881/2am9_R1881_1_replicate4.sdf,-10.836
4,LTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/LTHC/2am9_LTHC_1_replicate4.sdf,-7.057
4,DHT,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/DHT/2am9_DHT_4_replicate4.sdf,-11.064
4,5FAKB48,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_3_replicate4.sdf,-7.508
4,CBD,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_4_replicate4.sdf,-7.541
5,DTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_1_replicate5.sdf,-7.057
4,MDMBCHMINACA,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate4.sdf,-7.192
5,CBN,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_4_replicate5.sdf,-8.024
4,HU210,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_0_replicate4.sdf,-7.355
5,Testosterone,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_0_replicate5.sdf,-10.833
5,R1881,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_1_replicate5.sdf,-10.836
5,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate5.sdf,-8.292
5,LTHC,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_1_replicate5.sdf,-7.057
5,HU210,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_0_replicate5.sdf,-7.355
5,DHT,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_4_replicate5.sdf,-11.064
5,5FAKB48,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_3_replicate5.sdf,-7.508
5,MDMBCHMINACA,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate5.sdf,-7.192
5,CBD,2am9,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_4_replicate5.sdf,-7.541
