replicate,ligand_id,target_id,file,energy
1,CBN,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/CBN/2am9_CBN_0_replicate1.sdf,-8.028
1,R1881,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.sdf,-10.836
1,RBICALUTAMIDE,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/RBICALUTAMIDE/2am9_RBICALUTAMIDE_0_replicate1.sdf,-7.555
1,DTHC,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.sdf,-7.085
1,DHT,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.sdf,-11.064
1,LTHC,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,-7.085
1,Testosterone,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,-10.833
2,LTHC,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 2/LTHC/2am9_LTHC_1_replicate2.sdf,-7.085
1,CBD,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/CBD/2am9_CBD_2_replicate1.sdf,-7.538
1,HU210,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/HU210/2am9_HU210_2_replicate1.sdf,-6.974
1,MDMBCHMINACA,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate1.sdf,-7.15
2,DTHC,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 2/DTHC/2am9_DTHC_1_replicate2.sdf,-7.085
2,R1881,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 2/R1881/2am9_R1881_1_replicate2.sdf,-10.836
1,5FAKB48,2am9,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_3_replicate1.sdf,-7.512
