ligand_id,target_id,energy (kcal/mol),temperature (Celsius),Ki (microM),Ligand Eff,file,energy,reproduced,max RMSD,redocked,norm_score,HBDonor,Hydrophobic,HBAcceptor
5FAKB48,2am9,-7.512,37,5.04872,0.26829,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_3_replicate1.sdf,-7.512,Yes,6.243263918952723e-07,Not in structure,67.9,['A:12:OE2'],"['A:42', 'A:45', 'A:76', 'A:16', 'A:46', 'A:136', 'A:12', 'A:13', 'A:79', 'A:139', 'A:87', 'A:14', 'A:132', 'A:135', 'A:83', 'A:15', 'A:75', 'A:49', 'A:82']",
CBD,2am9,-7.538,37,4.84003,0.32774,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/CBD/2am9_CBD_2_replicate1.sdf,-7.538,Yes,0.0,Not in structure,68.13,['A:79:O'],"['A:42', 'A:82', 'A:46', 'A:135', 'A:83', 'A:12', 'A:15', 'A:87', 'A:86', 'A:75', 'A:13', 'A:49', 'A:79', 'A:139', 'A:14']",
CBN,2am9,-8.028,37,2.18445,0.34904,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/CBN/2am9_CBN_0_replicate1.sdf,-8.028,Yes,0.0,Not in structure,72.56,,"['A:42', 'A:16', 'A:46', 'A:12', 'A:13', 'A:79', 'A:139', 'A:87', 'A:14', 'A:94', 'A:83', 'A:15', 'A:97', 'A:75', 'A:49', 'A:82']",['A:16:H']
DHT,2am9,-11.064,37,0.0158,0.50291,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.sdf,-11.064,Yes,6.429670929558201e-07,Not in structure,100.0,,"['A:38', 'A:76', 'A:111', 'A:204', 'A:77', 'A:36', 'A:35', 'A:118', 'A:207', 'A:73', 'A:208', 'A:80', 'A:83', 'A:226', 'A:72', 'A:95', 'A:39', 'A:32']",['A:83:HH21']
DTHC,2am9,-7.085,37,10.09869,0.30804,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.sdf,-7.085,Yes,0.0,Not in structure,64.04,,"['A:14', 'A:49', 'A:76', 'A:75', 'A:16', 'A:42', 'A:79', 'A:135', 'A:12', 'A:139', 'A:15', 'A:13', 'A:46', 'A:83', 'A:87', 'A:82']",
HU210,2am9,-6.974,37,12.09297,0.24907,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/HU210/2am9_HU210_2_replicate1.sdf,-6.974,Yes,0.0,Not in structure,63.03,,"['A:13', 'A:12', 'A:49', 'A:87', 'A:139', 'A:14', 'A:42', 'A:86', 'A:46', 'A:75', 'A:83', 'A:135', 'A:76', 'A:15', 'A:16', 'A:82', 'A:79']",['A:82:HE1']
LTHC,2am9,-7.085,37,10.09869,0.30804,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,-7.085,Yes,0.0,Not in structure,64.04,,"['A:42', 'A:76', 'A:16', 'A:46', 'A:12', 'A:13', 'A:79', 'A:139', 'A:87', 'A:14', 'A:135', 'A:83', 'A:15', 'A:75', 'A:49', 'A:82']",
MDMBCHMINACA,2am9,-7.15,37,9.08726,0.25536,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate1.sdf,-7.15,Yes,6.243263918952723e-07,Not in structure,64.62,,"['A:16', 'A:79', 'A:12', 'A:14', 'A:135', 'A:97', 'A:42', 'A:15', 'A:46', 'A:139', 'A:49', 'A:13', 'A:80', 'A:82', 'A:75', 'A:76', 'A:83']","['A:42:HE22', 'A:83:HH11']"
R1881,2am9,-10.836,37,0.02288,0.516,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.sdf,-10.836,Yes,0.0,Not in structure,97.94,['A:36:OD1'],"['A:38', 'A:83', 'A:208', 'A:39', 'A:204', 'A:226', 'A:80', 'A:76', 'A:73', 'A:36', 'A:118', 'A:32', 'A:95', 'A:35', 'A:72', 'A:77', 'A:207', 'A:111']",['A:83:HH21']
RBICALUTAMIDE,2am9,-7.555,37,4.70827,0.26052,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/RBICALUTAMIDE/2am9_RBICALUTAMIDE_0_replicate1.sdf,-7.555,Yes,3.541857493916547e-07,Not in structure,68.28,,"['A:135', 'A:14', 'A:46', 'A:42', 'A:45', 'A:87', 'A:12', 'A:94', 'A:79', 'A:49', 'A:76', 'A:13', 'A:83', 'A:139', 'A:82', 'A:75', 'A:15']",
Testosterone,2am9,-10.833,37,0.02299,0.51586,/home/screener/files/prost_canc/vinardo/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,-10.833,Yes,0.0,Yes,97.91,,"['A:38', 'A:76', 'A:111', 'A:204', 'A:77', 'A:36', 'A:118', 'A:95', 'A:207', 'A:73', 'A:208', 'A:80', 'A:83', 'A:42', 'A:226', 'A:72', 'A:35', 'A:39', 'A:32']",['A:83:HH21']
