id,smiles
"HU210","CCCCCCC(C)(C)C1=CC2=C([C@@H]3CC(CO)=CC[C@H]3C(C)(C)O2)C(C)=C1"
"LTHC","CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O"
"DTHC","CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21"
"DHT","C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@]3(CC[C@@H]4O)C)C"
"Testosterone","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C"
"CBD","CCCCCC1=CC(O)=C([C@@H]2C=C(C)CC[C@H]2C(C)=C)C(O)=C1"
"CBN","CCCCCC1=CC2=C(C(O)=C1)C1=CC(C)=CC=C1C(C)(C)O2"
"R1881","C[C@@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O"
"5FAKB48","C1C2CC3CC1CC(C2)(C3)NC(=O)C4=NN(C5=CC=CC=C54)CCCCCF"
"MDMBCHMINACA","CC(C)(C)[C@@H](C(=O)OC)NC(=O)C1=NN(C2=CC=CC=C21)CC3CCCCC3"

