ligand_id,file,target_id,energy,reproduced,max RMSD,redocked,norm_score,HBAcceptor,Hydrophobic,HBDonor
5FAKB48,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_1_replicate1.sdf,2am9,-6.676,Yes,3.604550104229233e-07,Not in structure,60.21,['A:42:HE22'],"['A:49', 'A:96', 'A:12', 'A:15', 'A:79', 'A:82', 'A:95', 'A:14', 'A:16', 'A:42', 'A:76', 'A:46', 'A:97', 'A:139', 'A:83', 'A:94', 'A:13', 'A:135', 'A:75']",
CBD,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/CBD/2am9_CBD_4_replicate1.sdf,2am9,-7.082,Yes,0.0,Not in structure,63.88,,"['A:80', 'A:77', 'A:39', 'A:73', 'A:35', 'A:95', 'A:32', 'A:42', 'A:36', 'A:76', 'A:111', 'A:38', 'A:83', 'A:207', 'A:118', 'A:204', 'A:208', 'A:226']",
CBN,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/CBN/2am9_CBN_2_replicate1.sdf,2am9,-7.556,Yes,0.0,Not in structure,68.15,,"['A:14', 'A:42', 'A:79', 'A:139', 'A:76', 'A:83', 'A:75', 'A:12', 'A:87', 'A:16', 'A:46', 'A:49', 'A:13', 'A:82', 'A:15', 'A:97', 'A:94']",
DHT,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.sdf,2am9,-11.087,Yes,0.0,Not in structure,100.0,['A:83:HH21'],"['A:204', 'A:35', 'A:36', 'A:38', 'A:207', 'A:76', 'A:83', 'A:39', 'A:72', 'A:73', 'A:226', 'A:111', 'A:208', 'A:80', 'A:95', 'A:77', 'A:32', 'A:118']",['A:208:OG1']
DTHC,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.sdf,2am9,-6.335,Yes,0.0,Not in structure,57.14,,"['A:226', 'A:35', 'A:207', 'A:111', 'A:36', 'A:39', 'A:208', 'A:118', 'A:73', 'A:38', 'A:95', 'A:204', 'A:77', 'A:32', 'A:80', 'A:76', 'A:83', 'A:72', 'A:42']",
HU210,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/HU210/2am9_HU210_0_replicate1.sdf,2am9,-4.703,Yes,0.0,Not in structure,42.42,,"['A:114', 'A:206', 'A:203', 'A:210', 'A:214', 'A:110', 'A:207']",
LTHC,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,2am9,-6.335,Yes,0.0,Not in structure,57.14,,"['A:72', 'A:226', 'A:76', 'A:38', 'A:80', 'A:42', 'A:36', 'A:35', 'A:73', 'A:95', 'A:207', 'A:118', 'A:39', 'A:32', 'A:111', 'A:204', 'A:208', 'A:83', 'A:77']",
MDMBCHMINACA,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate1.sdf,2am9,-6.975,Yes,0.0,Not in structure,62.91,"['A:42:HE22', 'A:83:HH11']","['A:80', 'A:49', 'A:82', 'A:75', 'A:95', 'A:42', 'A:83', 'A:16', 'A:46', 'A:15', 'A:87', 'A:86', 'A:76', 'A:14', 'A:79', 'A:97', 'A:13', 'A:139', 'A:12']",
R1881,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.sdf,2am9,-10.828,Yes,0.0,Not in structure,97.66,['A:83:HH21'],"['A:204', 'A:76', 'A:35', 'A:80', 'A:73', 'A:95', 'A:208', 'A:226', 'A:39', 'A:36', 'A:32', 'A:118', 'A:207', 'A:83', 'A:111', 'A:38', 'A:77', 'A:72']",
Testosterone,/home/screener/files/prost_canc/vina/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,2am9,-10.817,Yes,4.162175945968482e-07,Yes,97.56,['A:83:HH21'],"['A:42', 'A:83', 'A:76', 'A:208', 'A:77', 'A:95', 'A:32', 'A:35', 'A:38', 'A:111', 'A:226', 'A:39', 'A:36', 'A:204', 'A:207', 'A:72', 'A:80', 'A:73', 'A:118']",
