ligand_id,file,target_id,energy,reproduced,max RMSD,redocked,norm_score,HBDonor,Hydrophobic,HBAcceptor
5FAKB48,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_3_replicate1.sdf,2am9,-7.508,Yes,0.0,Not in structure,67.86,['A:12:OE2'],"['A:46', 'A:83', 'A:12', 'A:14', 'A:82', 'A:13', 'A:76', 'A:87', 'A:132', 'A:136', 'A:49', 'A:42', 'A:75', 'A:15', 'A:139', 'A:45', 'A:135', 'A:79', 'A:16']",
CBD,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/CBD/2am9_CBD_4_replicate1.sdf,2am9,-7.541,Yes,0.0,Not in structure,68.16,,"['A:46', 'A:49', 'A:83', 'A:42', 'A:15', 'A:75', 'A:86', 'A:139', 'A:12', 'A:14', 'A:82', 'A:13', 'A:135', 'A:79', 'A:87']",
CBN,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/CBN/2am9_CBN_4_replicate1.sdf,2am9,-8.024,Yes,5.624464269824872e-07,Not in structure,72.52,,"['A:12', 'A:83', 'A:14', 'A:82', 'A:94', 'A:97', 'A:49', 'A:13', 'A:139', 'A:75', 'A:15', 'A:42', 'A:87', 'A:16', 'A:79', 'A:46']",
DHT,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/DHT/2am9_DHT_4_replicate1.sdf,2am9,-11.064,Yes,0.0,Not in structure,100.0,['A:36:OD1'],"['A:35', 'A:111', 'A:77', 'A:204', 'A:83', 'A:207', 'A:118', 'A:73', 'A:72', 'A:208', 'A:226', 'A:36', 'A:39', 'A:76', 'A:32', 'A:38', 'A:80', 'A:95']",['A:83:HH21']
DTHC,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/DTHC/2am9_DTHC_1_replicate1.sdf,2am9,-7.057,Yes,0.0,Not in structure,63.78,,"['A:16', 'A:83', 'A:135', 'A:46', 'A:87', 'A:42', 'A:49', 'A:79', 'A:76', 'A:12', 'A:13', 'A:15', 'A:139', 'A:14', 'A:75', 'A:82']",
HU210,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/HU210/2am9_HU210_0_replicate1.sdf,2am9,-7.355,Yes,5.097603643654335e-07,Not in structure,66.48,,"['A:42', 'A:13', 'A:45', 'A:49', 'A:82', 'A:87', 'A:79', 'A:16', 'A:76', 'A:94', 'A:15', 'A:46', 'A:12', 'A:14', 'A:83', 'A:75', 'A:139']",['A:87:HD21']
LTHC,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,2am9,-7.057,Yes,0.0,Not in structure,63.78,,"['A:139', 'A:13', 'A:46', 'A:75', 'A:76', 'A:87', 'A:15', 'A:135', 'A:14', 'A:42', 'A:79', 'A:83', 'A:16', 'A:82', 'A:49', 'A:12']",
MDMBCHMINACA,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate1.sdf,2am9,-7.192,Yes,5.097603643654335e-07,Not in structure,65.0,,"['A:15', 'A:82', 'A:14', 'A:76', 'A:49', 'A:46', 'A:135', 'A:16', 'A:12', 'A:83', 'A:13', 'A:97', 'A:42', 'A:79', 'A:80', 'A:75', 'A:139']","['A:83:HH11', 'A:42:HE22']"
R1881,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/R1881/2am9_R1881_1_replicate1.sdf,2am9,-10.836,Yes,0.0,Not in structure,97.94,['A:36:OD1'],"['A:38', 'A:83', 'A:77', 'A:32', 'A:35', 'A:118', 'A:76', 'A:73', 'A:207', 'A:226', 'A:204', 'A:72', 'A:36', 'A:39', 'A:80', 'A:111', 'A:95', 'A:208']",['A:83:HH21']
RBICALUTAMIDE,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate1.sdf,2am9,-8.292,Yes,0.0,Not in structure,74.95,['A:13:O'],"['A:12', 'A:49', 'A:83', 'A:86', 'A:14', 'A:13', 'A:82', 'A:139', 'A:75', 'A:76', 'A:42', 'A:87', 'A:79', 'A:46']","['A:42:HE22', 'A:83:HH11']"
Testosterone,/home/screener/files/prost_canc/vina_new/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,2am9,-10.833,Yes,0.0,Yes,97.91,,"['A:35', 'A:111', 'A:204', 'A:77', 'A:83', 'A:207', 'A:118', 'A:73', 'A:72', 'A:208', 'A:226', 'A:36', 'A:80', 'A:76', 'A:95', 'A:39', 'A:32', 'A:42', 'A:38']",['A:83:HH21']
